# jfh_dense	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# spe_dense	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
# phoible_redux	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	0
# phoible_sparse	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1
# jfh_sparse	1	1	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# spe_sparse	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	1	1	1	0	1	1	1	1	0	0	0	0	0	0	0
	vocalic	consonantal	nasal	flat	continuant	strident	compact	grave	tense	nasal_sparse	flat_sparse	continuant_sparse	strident_sparse	compact_sparse	grave_sparse	tense_sparse	vocalic_spe	consonantal_spe	continuant_spe	voiced	coronal	anterior	high	back	low	strident_spe	nasal_spe_sparse	continuant_spe_sparse	voiced_spe_sparse	strident_spe_sparse	dorsal	lateral	anterior_sparse	sonorant	strident_phoible	distributed	delayedrelease
p	0	1	0	1	0	0	0	1	1	0		1		0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0		0			0
b	0	1	0	1	0	0	0	1	0	0		0		0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0		0			0
t	0	1	0	0	0	0	0	0	1	0		1	1	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
d	0	1	0	0	0	0	0	0	0	0		0		0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
k	0	1	0	0	0	0	1	1	1	0		1		1		1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0		0			0
ɡ	0	1	0	0	0	0	1	1	0	0		0	0	1		0	0	1	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	1	
tʃ	0	1	0	0	0	1	1	0	1	0		0	0	1		1	0	1	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	1	1	1
dʒ	0	1	0	0	0	1	1	0	0	0		0	1	1		0	0	1	0	1	1	0	1	0	0	1	0	0	1	1	0	0	0	0	1	1	1
f	0	1	0	1	1	1	0	1	1	0		0		0	1	1	0	1	1	0	0	1	0	0	0	1	0	1	0	1	0	0		0			1
v	0	1	0	1	1	1	0	1	0	0		1		0	1	0	0	1	1	1	0	1	0	0	0	1	0	1	1	1	0	0		0			1
θ	0	1	0	0	1	0	0	0	1	0		0		0	0	1	0	1	1	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	1
ð	0	1	0	0	1	0	0	0	0	0		1	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	1	1	0	0	0	1	0	0	1	1
s	0	1	0	0	1	1	0	0	1	0		1	0	0	0	1	0	1	1	0	1	1	0	0	0	1	0	1	0	1	0	0	1	0	1	0	1
z	0	1	0	0	1	1	0	0	0	0		1	1	0	0	0	0	1	1	1	1	1	0	0	0	1	0	1	1	1	0	0	1	0	1	0	1
ʃ	0	1	0	0	1	0	1	0	1	0		0	1	1		1	0	1	1	0	1	0	1	0	0	1	0	1	0	1	1	0		0			0
ʒ	0	1	0	0	1	0	1	0	0	0		1		1		0	0	1	1	1	1	0	1	0	0	1	0	1	1	1	0	0	0	0	1	1	1
m	0	1	1	1	1	0	0	1	0	1				0	1		0	1	0	1	0	1	0	0	0	0	1	0	1	0	0	0		1			
n	0	1	1	0	1	0	0	0	0	1				0	0		0	1	0	1	1	1	0	0	0	0	1	0	1	0	0	0	1	1	0	0	
ŋ	0	1	1	0	1	0	1	1	0	1				1			0	1	0	1	0	0	1	1	0	0	1	0	1	0	1	0		1			
h	0	0	0	0	1	0	0	1	1							1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0		0			1
l	1	1	0	0	1	0	0	1	1								1	1	1	1	1	1	0	0	0	0	0	1	1	0	0	1	1	1	0	0	
ɹ	1	0	0	0	1	0	0	1	1		0			0	1		1	1	1	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	1
j	1	0	0	0	1	0	0	0	1					0	0	1	0	0	1	1	0	0	1	0	0	0					1	0		1			
w	1	0	0	1	1	0	0	1	1		1			0	1	1	0	0	1	1	0	0	1	1	0	0					1	0		1			
